what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1353480586371
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1353480586371
started,bundle,com.altera.sbtgui.integration,12.0.0.263,"com.altera.sbtgui.integration",1353480586371
started,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1353480586371
started,bundle,com.altera.systemconsole,12.0.0.263,"com.altera.systemconsole",1353480586381
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.263,"com.altera.systemconsole.designs.plugin",1353480586381
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1353480586381
started,bundle,com.altera.utilities,12.0.0.263,"com.altera.utilities",1353480586381
os,sysinfo,,,"win32",1353480586381
arch,sysinfo,,,"x86",1353480586381
ws,sysinfo,,,"win32",1353480586381
locale,sysinfo,,,"zh_CN",1353480586381
processors,sysinfo,,,"2",1353480586381
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353480586381
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1353480586381
java.specification.name,sysinfo,,,"Java Platform API Specification",1353480586381
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353480586381
java.specification.version,sysinfo,,,"1.6",1353480586381
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353480586381
java.version,sysinfo,,,"1.6.0_23",1353480586381
java.vm.info,sysinfo,,,"mixed mode",1353480586381
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1353480586381
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353480586381
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353480586381
java.vm.specification.version,sysinfo,,,"1.0",1353480586381
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1353480586381
java.vm.version,sysinfo,,,"19.0-b09",1353480586381
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353480586831
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1353480587021
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353480589281
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353480589301
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProgressView",1353480590322
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353480592943
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1353480593099
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1353480593162
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1353480593614
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1353480593645
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1353480593645
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353480596656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353480596703
